experiment_id,variant_id,winner_case,winner_label,SC_1,HT,R_delay,V_reconf_norm,max_gap,max_elapsed_seconds,C_total__no_storage,unmet__no_storage,C_total__fixed_only,unmet__fixed_only,C_total__mobile_only,unmet__mobile_only,C_total__hybrid,unmet__hybrid,V_mob_net,fixed_total_mwh,mobile_total_mwh,hybrid_fixed_total_mwh,hybrid_mobile_total_mwh,c_reconf_yuan_per_mwh,question,track,source,timeline_mode,reconf_hours,delay_windows,B_reuse,L_friction,delay_windows_map,reconf_hours_map
E6,d2_L24,fixed_only,Case A: Fixed Only,0.23909224573916976,1.0,5.99999999925,9.251858537771982e-18,0.0,2.8290000000270084,1836.09760625,96.32075,1675.8615575657893,82.17824999999999,1717.9980229605262,85.70989999999999,1689.2944915131577,83.22035,-42.13646539473689,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,24,2,,,2,24
E6,d2_L3,hybrid,Case C: Hybrid,0.229403377458305,0.6,2.833333331638889,0.20835134801191085,0.0,0.4839999999385327,245.41161250000002,13.664,222.5652342105263,11.45425,225.7037132041527,11.56711901185774,221.13664628903908,11.224820016645555,-3.138478993626393,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,3,2,,,2,3
E6,d2_L48,fixed_only,Case A: Fixed Only,0.2392454065848284,1.0,5.999999999625,5.55111512266319e-17,0.0,5.407000000006519,3672.1952125,192.6415,3348.956799342105,164.35649999999998,3432.9518353947365,171.41979999999998,3375.683719868421,166.4407,-83.99503605263135,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,48,2,,,2,48
E6,d2_L6,hybrid,Case C: Hybrid,0.23321942232681822,0.6,5.3333333291111105,0.23887693718492267,0.0,3.672000000020489,378.17283124999994,18.852,338.966108881579,15.309499999999998,338.84637492423184,14.993003969459679,337.608003749553,15.036703412643691,0.11973395734713677,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,6,2,,,2,6
E6,d3_L12,fixed_only,Case A: Fixed Only,0.2372251984559508,1.0,20.571428553061224,0.2624216524671458,0.0,2.0,922.17220625,48.499249999999996,838.5078523026316,40.96075,862.104545060968,42.83913931616252,847.0893320062634,41.58773637362575,-23.596692758336417,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,12,3,,,3,12
E6,d3_L24,fixed_only,Case A: Fixed Only,0.2389723073039567,1.0,8.999999998875,2.5442610978872952e-17,0.0,2.5,1836.09760625,96.32075,1675.8615575657893,82.17824999999999,1717.9980229605262,85.70989999999999,1689.2944915131577,83.22035,-42.13646539473689,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,24,3,,,3,24
E6,d3_L3,hybrid,Case C: Hybrid,0.2316576349497486,0.6,3.9999999976666665,0.205386467240531,0.0,3.077999999979511,245.41161250000002,13.664,222.5652342105263,11.45425,225.94683154890106,11.588861314305912,221.33531874958302,11.238231054064109,-3.381597338374746,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,3,3,,,3,3
E6,d3_L48,fixed_only,Case A: Fixed Only,0.23957847336463753,1.0,9.314285713681599,1.1564823172214978e-18,0.0,5.217999999993481,3672.1952125,192.6415,3348.956799342105,164.35649999999998,3432.9518353947365,171.41979999999998,3375.683719868421,166.4407,-83.99503605263135,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,48,3,,,3,48
E6,d3_L6,hybrid,Case C: Hybrid,0.2327468062648407,0.6,8.09999999363,0.14459146354505456,0.0,1.8900000000139698,378.17283124999994,18.852,338.966108881579,15.309499999999998,338.59232625495406,15.021175106544895,337.5883217032164,15.058309444444443,0.3737826266249158,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,6,3,,,3,6
E6,d4_L12,fixed_only,Case A: Fixed Only,0.23761499276912024,1.0,18.09523808385941,0.18705684762913016,0.0,0.9529999999795109,922.17220625,48.499249999999996,838.5078523026316,40.96075,863.4561120285096,43.00410519368502,847.9638069969145,41.69578827493261,-24.94825972587796,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,12,4,,,4,12
E6,d4_L24,fixed_only,Case A: Fixed Only,0.23912674922040206,1.0,11.9999999985,4.625929268885991e-18,0.0,2.155999999959022,1836.09760625,96.32075,1675.8615575657893,82.17824999999999,1719.1696004605262,85.82095,1690.1453490131578,83.301,-43.3080428947369,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,24,4,,,4,24
E6,d4_L3,hybrid,Case C: Hybrid,0.23114023835773959,0.6,5.666666663277778,0.12547549743194086,0.0,1.1559999999590218,245.41161250000002,13.664,222.5652342105263,11.45425,225.78890720633598,11.619721020666448,221.33873852533063,11.273291017280794,-3.2236729958096646,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,3,4,,,4,3
E6,d4_L48,fixed_only,Case A: Fixed Only,0.23885983349283402,1.0,11.99999999925,2.3129646344429958e-17,0.0,5.219000000040978,3672.1952125,192.6415,3348.956799342105,164.35649999999998,3435.294990394737,171.6419,3377.385434868421,166.602,-86.33819105263183,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,48,4,,,4,48
E6,d4_L6,hybrid,Case C: Hybrid,0.23078715132718197,0.6,10.999999991416665,0.0,0.0,0.5629999999655411,378.17283124999994,18.852,338.966108881579,15.309499999999998,339.66419967105264,15.203999999999999,338.2680667763158,15.157499999999999,-0.6980907894736674,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, for a mobile resource with delay d and reconfiguration interval L, which intervention wins?",synthetic,synthetic_delay_interval_map,synthetic_hourly,6,4,,,4,6
