experiment_id,variant_id,winner_case,winner_label,SC_1,HT,R_delay,V_reconf_norm,max_gap,max_elapsed_seconds,C_total__no_storage,unmet__no_storage,C_total__fixed_only,unmet__fixed_only,C_total__mobile_only,unmet__mobile_only,C_total__hybrid,unmet__hybrid,V_mob_net,fixed_total_mwh,mobile_total_mwh,hybrid_fixed_total_mwh,hybrid_mobile_total_mwh,c_reconf_yuan_per_mwh,question,track,source,timeline_mode,reconf_hours,delay_windows,B_reuse,L_friction,concentration_map,turnover_map
E7,conc0.35_res1,fixed_only,Case A: Fixed Only,0.20765270225208352,1.0,2.4666666664125927,2.9738116729260854e-17,0.0,2.51500000001397,2612.0628000000006,141.36000000000004,2365.5120631578948,119.47200000000002,2448.8956421052635,126.76800000000003,2407.2038526315796,123.12000000000003,-83.38357894736873,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.35,1
E7,conc0.35_res2,fixed_only,Case A: Fixed Only,0.20762706908042478,0.42857142857142855,2.499999999738889,5.2867763074241514e-17,0.0,2.73499999998603,2612.0628000000006,141.36000000000004,2365.5120631578948,119.47200000000002,2448.8956421052635,126.76800000000003,2407.203852631579,123.12000000000003,-83.38357894736873,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.35,2
E7,conc0.35_res3,fixed_only,Case A: Fixed Only,0.20824914824149984,0.42857142857142855,2.533333333065185,2.3129646344980663e-17,0.0,2.827999999979511,2559.5014000000006,136.98800000000003,2312.9506631578947,115.10000000000002,2396.3342421052635,122.39600000000003,2354.6424526315786,118.74799999999999,-83.38357894736873,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.35,3
E7,conc0.35_res4,fixed_only,Case A: Fixed Only,0.20948221229756916,0.2857142857142857,2.6416666663746065,2.3129646344980663e-17,0.0,2.844000000040978,2457.9772000000003,128.55200000000002,2211.426463157895,106.66400000000003,2294.8100421052636,113.96000000000002,2253.1182526315793,110.31200000000003,-83.38357894736873,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.35,4
E7,conc0.35_res5,fixed_only,Case A: Fixed Only,0.21010711530163073,0.2857142857142857,2.6416666663746065,6.608470384280189e-18,0.0,2.48499999998603,2405.4158,124.18000000000002,2158.865063157895,102.29200000000003,2242.248642105263,109.58800000000002,2200.556852631579,105.94000000000004,-83.38357894736828,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.35,5
E7,conc0.50_res1,fixed_only,Case A: Fixed Only,0.21605985914214615,1.0,2.999999999625,1.0243129095634294e-16,0.0,2.937999999965541,2528.0856000000003,134.37600000000006,2283.8347631578954,112.70600000000005,2364.9184421052637,119.78400000000005,2323.2266526315793,116.13600000000004,-81.0836789473683,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.5,1
E7,conc0.50_res2,fixed_only,Case A: Fixed Only,0.2161090912059097,0.42857142857142855,2.999999999625,7.269317422708208e-17,0.0,2.687999999965541,2528.0856000000003,134.37600000000006,2283.8347631578954,112.70600000000005,2364.9184421052637,119.78400000000005,2323.2266526315793,116.13600000000004,-81.0836789473683,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.5,2
E7,conc0.50_res3,fixed_only,Case A: Fixed Only,0.21658411354956525,0.2857142857142857,2.999999999625,4.956352788210142e-17,0.0,2.8429999999934807,2488.0310500000005,131.04800000000006,2244.930163157895,109.48700000000004,2324.863892105264,116.45600000000005,2283.1721026315795,112.80800000000005,-79.93372894736876,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.5,3
E7,conc0.50_res4,fixed_only,Case A: Fixed Only,0.21772111777786227,0.14285714285714285,2.999999999625,4.4607175093891275e-16,0.0,2.9380000000819564,2411.0674000000004,124.66400000000004,2169.1164631578954,103.21200000000003,2247.9002421052637,110.07200000000005,2206.2084526315793,106.42400000000004,-78.78377894736832,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.5,4
E7,conc0.50_res5,fixed_only,Case A: Fixed Only,0.21828024650275749,0.14285714285714285,2.999999999625,8.260587980350237e-17,0.0,2.625,2371.0128500000005,121.33600000000004,2130.211863157895,99.99300000000004,2207.8456921052634,106.74400000000004,2166.153902631579,103.09600000000005,-77.63382894736833,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.5,5
E7,conc0.65_res1,fixed_only,Case A: Fixed Only,0.22435263983195414,1.0,2.999999999625,1.817329355677052e-16,0.0,2.4540000000270084,2446.1973000000003,127.59000000000002,2204.7527631578946,106.186,2283.030142105263,112.99800000000002,2242.608572631579,109.47040000000001,-78.27737894736856,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.65,1
E7,conc0.65_res2,fixed_only,Case A: Fixed Only,0.22442864890155992,0.42857142857142855,2.999999999625,1.883414059519854e-16,0.0,2.531000000075437,2446.1973000000003,127.59000000000002,2204.7527631578946,106.186,2283.030142105263,112.99800000000002,2242.608572631579,109.47040000000001,-78.27737894736856,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.65,2
E7,conc0.65_res3,fixed_only,Case A: Fixed Only,0.22474835899159665,0.2857142857142857,2.999999999625,6.27804686506618e-17,0.0,2.48499999998603,2418.7656500000003,125.31700000000001,2179.8742131578947,104.155,2255.598492105263,110.72500000000001,2215.176922631579,107.1974,-75.72427894736848,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.65,3
E7,conc0.65_res4,fixed_only,Case A: Fixed Only,0.22565501463305276,0.14285714285714285,2.999999999625,3.965082230568113e-17,0.0,3.234000000054948,2366.4786000000004,120.99600000000001,2130.1402631578944,100.07600000000001,2203.3114421052633,106.40400000000001,2162.889872631579,102.8764,-73.17117894736884,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.65,4
E7,conc0.65_res5,fixed_only,Case A: Fixed Only,0.22611331825696845,0.14285714285714285,2.999999999625,1.0243129095634294e-16,0.0,3.5630000000819564,2339.04695,118.72300000000001,2105.261713157895,98.045,2175.8797921052633,104.13100000000001,2135.458222631579,100.60340000000001,-70.6180789473683,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.65,5
E7,conc0.80_res1,fixed_only,Case A: Fixed Only,0.23282003013896668,1.0,2.999999999625,2.9738116729260854e-17,0.0,3.797000000020489,2371.4692,121.47800000000001,2137.472963157895,100.78,2210.460572105263,107.09060000000001,2170.168767631579,103.5753,-72.98760894736824,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.8,1
E7,conc0.80_res2,fixed_only,Case A: Fixed Only,0.23283270026914685,0.42857142857142855,2.999999999625,3.3042351921400945e-17,0.0,3.687000000034459,2371.4692,121.47800000000001,2137.472963157895,100.78,2210.460572105263,107.09060000000001,2170.168767631579,103.5753,-72.98760894736824,3.6,2.4,1.8,1.2,0.5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,synthetic_hourly,24,1,,,0.8,2
