experiment_id,variant_id,winner_case,winner_label,SC_1,HT,R_delay,V_reconf_norm,max_gap,max_elapsed_seconds,C_total__no_storage,unmet__no_storage,C_total__fixed_only,unmet__fixed_only,C_total__mobile_only,unmet__mobile_only,C_total__hybrid,unmet__hybrid,V_mob_net,fixed_total_mwh,mobile_total_mwh,hybrid_fixed_total_mwh,hybrid_mobile_total_mwh,c_reconf_yuan_per_mwh,question,track,source,timeline_mode,reconf_hours,delay_windows,B_reuse,L_friction,robustness_case
E9,holiday_stagger,mobile_only,Case B: Mobile Only,0.06388722438013357,0.5,3.766233765169159,0.361339145334876,0.0,22.780999999959022,61168.228914828025,57.33092441650875,33858.42834250065,30.162609019062458,23187.38659807716,19.397184209972995,27769.07705197228,24.026984850536905,10671.041744423492,18.0,12.0,9.0,6.0,0.5,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stagger,mixed_real,24,1,,,holiday_stagger
E9,holiday_stress,fixed_only,Case A: Fixed Only,0.04442501717561481,0.25,3.1407407402969545,4.866873659663706e-14,0.0012498015957794237,484.7030000000959,6377.903094966955,0.0,6147.809913742006,0.0,6209.685983667561,0.0,6172.989361715634,0.0,-61.876069925555385,18.0,12.0,9.0,6.0,0.5,Do the shared-budget planning conclusions survive realistic perturbations?,real,holiday_stress,mixed_real,24,1,,,holiday_stress
E9,site_month_heterogeneity,fixed_only,Case A: Fixed Only,0.049207248561584906,0.8181818181818182,17.619047603451246,0.0010726626497323047,0.0004047493184158673,495.39000000001397,2582.4755687414236,0.0,2262.440800065787,0.0,2355.944162297674,0.0,2306.7669456087574,0.0,-93.50336223188742,18.0,12.0,9.0,6.0,0.5,Do the shared-budget planning conclusions survive realistic perturbations?,real,site_month_heterogeneity,mixed_real,24,1,,,site_month_heterogeneity
